"state","obesityRate","confidenceInterval"
"West Virginia",40.6,"(39.1, 42.1)"
"Kentucky",40.3,"(38.5, 42.2)"
"Alabama",39.9,"(37.9, 41.8)"
"Oklahoma",39.4,"(37.7, 41.2)"
"Mississippi",39.1,"(37.1, 41.1)"
"Arkansas",38.7,"(36.6, 40.8)"
"Louisiana",38.6,"(36.7, 40.6)"
"South Dakota",38.4,"(35.6, 41.4)"
"Ohio",37.8,"(36.6, 39.0)"
"Missouri",37.3,"(35.9, 38.7)"
"Iowa",36.4,"(35.1, 37.7)"
"Indiana",36.3,"(35.1, 37.5)"
"South Carolina",36.1,"(34.6, 37.5)"
"Texas",36.1,"(34.4, 37.8)"
"Kansas",36,"(35.1, 37.0)"
"North Carolina",36,"(34.2, 37.9)"
"Nebraska",35.9,"(34.8, 37.1)"
"North Dakota",35.2,"(33.6, 36.9)"
"Tennessee",35,"(33.1, 36.8)"
"New Mexico",34.6,"(32.9, 36.3)"
"Michigan",34.4,"(33.1, 35.7)"
"Maryland",34.3,"(33.2, 35.5)"
"Illinois",34.2,"(31.8, 36.6)"
"Virginia",34.2,"(32.9, 35.6)"
"Delaware",33.9,"(31.8, 36.1)"
"Georgia",33.9,"(32.2, 35.6)"
"Wisconsin",33.9,"(32.1, 35.7)"
"Alaska",33.5,"(31.5, 35.5)"
"Pennsylvania",33.3,"(31.7, 34.9)"
"Minnesota",32.4,"(31.5, 33.3)"
"Wyoming",32,"(29.9, 34.1)"
"Maine",31.9,"(30.6, 33.2)"
"Montana",31.8,"(30.3, 33.3)"
"Idaho",31.6,"(30.2, 33.0)"
"Arizona",31.3,"(30.0, 32.6)"
"Nevada",31.3,"(28.7, 34.1)"
"Utah",30.9,"(29.8, 32.1)"
"New Hampshire",30.6,"(29.0, 32.3)"
"Connecticut",30.4,"(28.9, 31.9)"
"Oregon",30.4,"(28.9, 31.9)"
"Rhode Island",30.1,"(28.4, 31.8)"
"New York",29.1,"(28.3, 30.0)"
"Vermont",29,"(27.4, 30.7)"
"Washington",28.8,"(27.7, 29.9)"
"New Jersey",28.2,"(26.8, 29.6)"
"Florida",28,"n/a"
"California",27.6,"(26.1, 29.1)"
"Massachusetts",27.4,"(25.9, 28.8)"
"Colorado",25.1,"(24.1, 26.2)"
"Hawaii",25,"(23.6, 26.4)"
"District of Columbia",24.7,"(22.6, 26.9)"